TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
AACB.US,20260323,10.34,10.38,10.33,10.33,104372
AACBR.US,20260323,0.335,0.335,0.335,0.335,1506
AACG.US,20260323,0.9851,1.03,0.92,0.9724,14094
AACIU.US,20260323,9.99,9.99,9.98,9.98,1571
AACOU.US,20260323,9.945,9.95,9.945,9.95,1931
AAL.US,20260323,11.14,11.335,10.75,10.81,77753635
AAME.US,20260323,2.53,2.53,2.42,2.52,7460
AAOI.US,20260323,90,96.09,84.92,95.76,10729826
AAON.US,20260323,82.52,84.4,79.98,80.29,653850
AAPG.US,20260323,21.36,22.32,21.16,22.32,14172
AAPL.US,20260323,253.97,254.6,250.28,251.49,40546109
AARD.US,20260323,4.06,4.17,4.01,4.065,214040
ABAT.US,20260323,2.95,2.99,2.84,2.9,3191944
ABCB.US,20260323,75.86,77.18,74.73,75.76,561196
ABCL.US,20260323,3.4,3.51,3.36,3.37,2358659
ABEO.US,20260323,4.5,4.54,4.3,4.42,1623249
ABLVW.US,20260323,0.0198,0.0198,0.016601,0.016601,894
ABNB.US,20260323,130.29,134.03,129.98,132.59,3568357
ABNG.US,20260323,16.5,16.5,16.32,16.3815,1528
ABOS.US,20260323,2.73,2.805,2.63,2.71,588287
ABSI.US,20260323,3,3.04,2.855,2.93,3813279
ABTC.US,20260323,0.98,0.998,0.9361,0.965,9445050
ABTS.US,20260323,2.43,2.53,2.402,2.53,6081
ABUS.US,20260323,4.36,4.6,4.24,4.42,7626047
ABVC.US,20260323,1.3123,1.3199,1.212,1.23,53208
ABVE.US,20260323,0.8901,1.02,0.86,0.88,12277638
ABVEW.US,20260323,0.2499,0.35,0.2499,0.283,37803
ABVX.US,20260323,120.63,123,115.01,115.42,1288417
ABX.US,20260323,9.2,9.45,9.04,9.07,697301
ABXL.US,20260323,25.03,25.13,24.9301,25.01,36424
ACAAU.US,20260323,10.08,10.08,10.04,10.08,7831
ACAD.US,20260323,21.32,21.51,20.94,20.99,1414578
ACB.US,20260323,3.31,3.365,3.2525,3.31,564162
ACCL.US,20260323,1.37,1.38,1.33,1.34,28663
ACDC.US,20260323,6.31,6.41,6.08,6.2,1593150
ACET.US,20260323,6.82,6.9169,6.485,6.66,160384
ACFN.US,20260323,18.44,19.17,18.015,18.99,37443
ACGL.US,20260323,93.68,94.43,92.85,93.66,1927919
ACGLN.US,20260323,16.725,16.76,16.522,16.67,24840
ACGLO.US,20260323,19.8014,19.9,19.71,19.71,19443
ACHC.US,20260323,22.96,23.41,22.74,23.18,3504445
ACHV.US,20260323,4.1,4.1488,3.89,4.05,568647
ACIC.US,20260323,11.25,11.47,11.15,11.36,152260
ACIU.US,20260323,2.88,3.0128,2.8,2.88,122019
ACIW.US,20260323,40.47,41.08,39.93,40.89,748100
ACLS.US,20260323,86.5,88,85.15,85.77,477825
ACLX.US,20260323,114.69,114.78,114.47,114.6,1958280
ACMR.US,20260323,45.01,46.45,44.46,44.83,757439
ACNB.US,20260323,47.13,47.77,46.79,47.25,67933
ACNT.US,20260323,12.41,12.66,12.22,12.6,234064
ACOG.US,20260323,5.85,6.1,5.76,5.8,49889
ACON.US,20260323,3.2,3.24,3.06,3.12,19458
ACONW.US,20260323,0.0375,0.041,0.0375,0.0409,300
ACRS.US,20260323,3.72,3.745,3.5,3.58,2036286
ACRV.US,20260323,1.65,1.69,1.59,1.6,409861
ACT.US,20260323,40.93,41.32,40.32,40.35,265232
ACTG.US,20260323,4.9,4.97,4.86,4.91,227971
ACTU.US,20260323,2.4,2.47,2.31,2.44,40585
